-88.910,-0.009,11.610,-9.783,0.008,0.370,-0.024,-0.002,0.001
-88.823,-0.007,11.628,-9.787,-0.001,0.322,-0.028,-0.001,0.001
-88.797,-0.009,11.647,-9.816,0.004,0.241,-0.031,0.001,0.001
-88.836,-0.010,11.667,-9.807,0.004,0.145,-0.033,0.001,0.001
-88.855,-0.014,11.689,-9.811,0.008,0.169,-0.035,0.002,0.002
-88.884,-0.020,11.712,-9.807,0.013,0.150,-0.036,0.001,0.002
-88.914,-0.013,11.735,-9.802,-0.006,0.145,-0.037,0.001,0.002
-88.916,-0.017,11.759,-9.816,0.008,0.183,-0.037,-0.001,0.001
-88.933,-0.012,11.783,-9.802,-0.006,0.159,-0.039,-0.001,0.001
-88.955,-0.009,11.809,-9.807,-0.001,0.150,-0.040,-0.001,0.002
-88.965,-0.013,11.835,-9.811,0.008,0.164,-0.042,-0.002,0.002
-88.975,-0.010,11.863,-9.787,-0.001,0.164,-0.043,-0.002,0.002
-88.978,-0.005,11.891,-9.787,-0.006,0.169,-0.044,0.002,0.001
-89.087,0.002,11.919,-9.816,-0.011,0.001,-0.044,0.004,0.001
-89.302,0.003,11.946,-9.831,-0.001,-0.181,-0.042,0.002,0.001
-89.543,0.007,11.969,-9.831,-0.006,-0.253,-0.038,-0.004,0.001
-89.720,0.015,11.989,-9.816,-0.016,-0.219,-0.034,-0.006,0.001
-89.848,0.024,12.008,-9.802,-0.016,-0.147,-0.031,-0.005,0.001
-89.961,0.029,12.025,-9.787,-0.011,-0.147,-0.027,-0.002,0.001
-90.098,0.036,12.040,-9.802,-0.016,-0.209,-0.024,0.003,0.001
-90.257,0.049,12.053,-9.816,-0.025,-0.267,-0.020,0.003,0.001
-90.430,0.060,12.063,-9.816,-0.025,-0.315,-0.016,0.002,0.001
-90.570,0.061,12.069,-9.826,-0.011,-0.291,-0.010,-0.002,0.001
-90.591,0.061,12.073,-9.792,-0.011,-0.128,-0.006,-0.003,0.001
-90.511,0.058,12.076,-9.787,-0.006,0.025,-0.005,-0.001,-0.000
-90.527,0.062,12.077,-9.792,-0.016,-0.114,-0.002,0.002,0.001
-90.547,0.065,12.077,-9.802,-0.016,-0.128,0.000,0.003,-0.000
-90.496,0.056,12.076,-9.807,0.004,-0.018,0.002,0.005,0.001
-90.461,0.054,12.074,-9.807,-0.006,-0.037,0.002,0.006,0.001
-90.430,0.058,12.070,-9.811,-0.016,-0.037,0.007,0.007,0.001
-90.306,0.045,12.066,-9.802,0.013,0.130,0.008,0.008,0.001
-90.160,0.029,12.062,-9.816,0.018,0.169,0.006,0.007,0.001
-90.024,0.022,12.060,-9.821,0.008,0.178,0.005,0.006,0.002
-89.818,0.010,12.059,-9.821,0.018,0.346,0.001,0.004,0.002
-89.610,-0.008,12.060,-9.826,0.028,0.356,-0.002,0.001,0.001
-89.517,-0.009,12.063,-9.811,0.004,0.212,-0.005,-0.001,0.002
-89.485,-0.010,12.067,-9.821,0.004,0.135,-0.006,-0.003,0.001
-89.532,-0.008,12.071,-9.811,-0.001,0.011,-0.007,-0.003,0.001
-89.702,0.011,12.074,-9.807,-0.025,-0.162,-0.004,-0.002,0.001
-89.831,0.022,12.074,-9.807,-0.020,-0.171,-0.001,0.002,0.001
-89.932,0.037,12.073,-9.802,-0.025,-0.133,0.002,0.005,0.001
-90.001,0.040,12.070,-9.802,-0.011,-0.104,0.005,0.008,0.001
-89.998,0.034,12.065,-9.811,0.004,-0.004,0.008,0.009,0.001
-89.920,0.023,12.061,-9.821,0.013,0.126,0.007,0.009,0.001
-89.827,0.022,12.057,-9.807,-0.001,0.150,0.007,0.008,0.001
-89.710,0.032,12.054,-9.816,-0.020,0.207,0.006,0.006,-0.000
-89.560,0.011,12.052,-9.816,0.032,0.303,0.002,0.004,0.002
-89.421,0.008,12.053,-9.821,0.004,0.289,-0.001,0.003,0.001
-89.345,0.005,12.055,-9.807,0.004,0.217,-0.003,0.001,0.001
